address1,resource_id,resource_name,address2,city,state,zip,county,phone,fax,tty,toll_free,hotline,email,web_page,facebook_name,facebook_url,twitter,short_description
2209 Petrus Circle,53644,ALS Association Mid-America Chapter,,Ozark,MO,65721,,417-886-5003,,,,,,www.alsa-midamerica.org,The ALS Association Mid-America Chapter,https://www.facebook.com/ALSKWC?ref=br_rs,,Seeks to discover the cause and cure for amyotrophic lateral sclerosis (Lou Gehrig's disease) by raising funds for research; provides support for people living with ALS and information/education for healthcare professionals and the general public.
1630 W. Elfindale,33965,"Alzheimer's Disease and Related Disorders, Greater Missouri Chapter",,Springfield,MO,65807,GREENE COUNTY,417-886-2199,417-886-0337,,1-800-272-3900,1-800-272-3900,,www.alz.org/greatermissouri,Alzheimer's Association Greater Missouri Chapter,https://www.facebook.com/midmoalz,@ALZGreaterMo,"Committed to providing support, education, advocacy, respite care assistance, and research on behalf of those affected by Alzheimer's disease and related disorders."
1302 W. Sunset St.,33161,Alzheimer's Support Group,,Springfield,MO,65807,GREENE COUNTY,417-889-7600,417-889-2477,,,,cgarrison@ba.org,www.bethesdaseniorliving.com,The Gardens Assisted and Independent Living,https://www.facebook.com/TheGardensAssistedandIndependentLiving,,Education and support for caregivers of those with Alzheimer's Disease and related dementias.
"500 W. Battlefield Ave., Suite B",53034,Ambassadors for Children,,Springfield,MO,65807,GREENE COUNTY,417-708-0565,417-708-0566,,,,dfay@ccozarks.org,www.ccozarks.org; www.ambassadors4children.org,Ambassadors for Children,https://www.facebook.com/ambassadorsforchildren,,"Addresses the needs of abused and neglected children through the provision of new clothing, tutoring, hygiene items and self-esteem enhancing activities for foster children; matches child protective caseworkers with community groups. Provides Christmas presents for kids in foster care, and operates Prom Closet. An operating agency of the Council of Churches of the Ozarks."
P.O. Box 10511,33984,American Advertising Federation (AAF) of the Ozarks,,Springfield,MO,65808-0511,GREENE COUNTY,,,,,,info@aafozarks.org,www.aafozarks.org,,,,"Provides a forum for interaction, education and professional development."
,33164,American Association of University Women (AAUW),,,,,GREENE COUNTY,417-425-7875,,,,,djmedlin@aol.com,www.aauw.org,,,,"Advances equity for women and girls through advocacy, education, philanthropy and research."
"3322 S. Campbell Ave., Suite G",33165,"American Cancer Society, Southwest Missouri Office",,Springfield,MO,65807,GREENE COUNTY,417-881-4668,417-881-7955,,1-800-915-8350,,Marti.Helfrecht@cancer.org,www.cancer.org,American Cancer Society - Southwest Missouri,https://www.facebook.com/AmericanCancerSocietySWMO/info,,"Provides programs and services for cancer patients, survivors and caregivers, and provides many ways people can help fight cancer through volunteering, advocating, donating money or participating in fundraising activities such as Relay for Life, Making Strides Against Breast Cancer, Cattlebaron's Ball or athletic events."
3601 Main St.,33982,American Civil Liberties Union of Kansas (ACLU),,Kansas City,MO,64111,JACKSON COUNTY,1-816-756-3113,1-816-756-0136,,,,,www.aclukansas.org,ACLU of Kansas,https://www.facebook.com/aclukansas,@aclukansas,"Legislation, litigation and education in promoting and defending the Bill of Rights of the United States Constitution."
"1675 E. Seminole, Suite F",33987,"American Contract Bridge League, Southwest Missouri Unit 101",,Springfield,MO,65804,GREENE COUNTY,417-881-3354,417-889-4889,,,,joeasson@gmail.com,www.bridgewebs.com/acblunit101/,,,,Promotes the game of bridge through lessons and play. Nine-plus regularly scheduled games per week of duplicate style bridge. Games are ACBL sanctioned. All experience levels are welcome.
"2833-B E. Battlefield Road, Suite 100",33166,American Diabetes Association - Missouri Chapter,,Springfield,MO,65804,GREENE COUNTY,417-890-8400,417-890-8484,,1-800-216-2464,,,www.diabetes.org,American Diabetes Association - SW Missouri,https://www.facebook.com/ADASWMissouri,,Provides educational material and non-medical counseling for diabetics and their families; raises funds for research and sponsored programs.
2446 E. Madrid St.,33168,American Heart Association,,Springfield,MO,65804,GREENE COUNTY,417-881-1121,417-881-8972,1-800-242-8721,1-800-439-2648 ,,,www.heart.org/springfieldmo,American Heart Association Springfield,https://www.facebook.com/AmericanHeartAssociationSpringfield,@AHA_SWMissouri,"Works to build healthier lives, free of cardiovascular disease and stroke; raise funds for research, community programs and education."
"310 Armour Road, Suite 205",33169,American Indian Council Employment and Training,,North Kansas City ,MO,64116,CLAY COUNTY,1-816-471-4898,1-816-471-8543,,1-800-546-4898,,cmolle@indiancouncil.net,,American Indian Council,https://www.facebook.com/pages/American-Indian-Council-Inc/115165278505460,,Provides employment and training programs for federally recognized American Indian tribal members.
"1717 E. Republic Road, Suite A",33989,"American Institute of Architects, Springfield Chapter",,Springfield,MO,65804,GREENE COUNTY,417-886-8606,,,,,info@aiaspringfield.org,www.aiaspringfield.org,AIA Springfield,https://www.facebook.com/aiaspringfield,@aiaspringfield,"Works to further the profession and the quality of the built environment, and sells the AIA documents to local architects."
P.O. Box 14826,A7,"American Legion Post 1214, Women Veterans of Southwest Missouri",,Springfield,MO,65814,,417-882-2557,,,,,,ALpost1214@yahoo.com,,,,"Dedicated to the welfare and support of all female veterans in southwest Missouri. Post members work to further the principles of the American Legion: Americanism, Veterans, Children & Youth and National Security. They are women veterans helping women veterans. Meets the first Saturday of the month at 9 a.m."
2660 S. Scenic Ave.,33994,"American Legion Vietnam War Memorial, Post 639",,Springfield,MO,65807,GREENE COUNTY,417-882-8639,,,,,post639@yahoo.com,www.post639.com,,,,Promotes the interests of veterans.
149 Memorial Plaza,33990,"American Legion, Post 69",,Springfield,MO,65806,GREENE COUNTY,417-862-6641,,,,,americanlegion69@yahoo.com,www.legion.org,,,,A service organization that assists needy veterans.
1118 Hampton Ave.,33170,American Lung Association in Missouri,,St. Louis,MO,63139,,314-645-5505,314-645-7128,,1-800-LUNG-USA,1-800-LUNG-USA,,www.lung.org,,,,"An informational and educational agency dedicated to the research, treatment and prevention of lung disease."
1545 N. West Bypass,33172,"American Red Cross, Southern Missouri",,Springfield,MO,65803,GREENE COUNTY,417-832-9500,417-866-3649,,1-866-206-0256,,info.springfieldARC.MO@redcross.org,www.redcross.org,"American Red Cross, Southern Missouri Region",https://www.facebook.com/OzarksRedCross,@SOMORedCross,"Helps people prevent, prepare for, and respond to emergencies by offering relief to victims of disasters, health and safety services, training in first aid, CPR and water safety, financial assistance for military personnel and their families, and some financial assistance for veterans."
,33996,"American Society of Heating, Refrigerating and Air Conditioning Engineers, Inc.",,Springfield,MO,,GREENE COUNTY,,,,,,,www.ozarksashrae.org,,,,"A trade and technical society for heating, refrigerating and air-conditioning engineers."
P.O. Box 9451,33173,American Welding Society--Ozarks Section,,Springfield,MO,65801,,417-575-9753,,,,,,www.awssection.org/ozark,American Welding Society - Ozark Section,https://www.facebook.com/AWSOzark?fref=ts,,A professional development organization for welding managers and welders.
500 W. Sunshine St.,52675,America's Wildlife Museum & Aquarium (formerly Wonders of Wildlife),,Springfield,MO,65807,GREENE COUNTY,417-890-9453,417-890-9278,,1-877-245-9453,,info@wondersofwildlife.org,www.wondersofwildlife.org,,,,"Museum and aquarium with live species in natural habitats, interactive exhibits, huge freshwater and saltwater aquariums and conservation exhibits. Currently closed for renovation and expansion with grand re-opening scheduled for spring 2016."
P.O. Box 14134,33175,Animal Abuse Council,,Springfield,MO,65814-0134,GREENE COUNTY,417-865-4284,,,,,,,,,,Provides 24-hour response to calls reporting animal abuse and neglect; provides information about Missouri laws pertaining to animal abuse and neglect.
"1901 E. Bennett St., Suite D",33978,"APO (formerly AIDS Project of the Ozarks, Inc.)",,Springfield,MO,65804,GREENE COUNTY,417-881-1900,417-881-1237,,1-800-743-5767,,becki.hearon@apo-ozarks.org,www.aidsprojectoftheozarks.org,,,,"Provides medical care, case management and education to the general public, and services to persons with HIV infection, their families and significant others in a confidential, caring environment."
"9433 Olive Street, Suite 100",54674,Arthritis Foundation,,St. Louis,MO,63132,,1-314-991-9333,1-314-991-4020,,1-800-406-2491,,info.emo@arthritis.org,www.arthritis.org,,,,"Strives to improve lives and provide leadership in the prevention, control and cure of the number one cause of disability in the United States."
Creamery Arts Center,54737,ARTS Anonymous (Artists Recovering Through the Twelve Steps),411 N. Sherman Parkway,Springfield,MO,65802,GREENE COUNTY,417-881-7070,,,,,,www.artsanonymous.org,,,,"A 12-step fellowship of artists who share their experiences, strengths and hopes that they may recover from their common problems and help others to surrender to their creativity."
310 N. Perryman Ave.,46518,Ash Grove Sunshine Center ,P.O. Box 72,Ash Grove,MO,65604,GREENE COUNTY,417-751-3826,417-751-9926,,,,maryannd@swmoa.com,www.swmoa.com,,,,"A senior center of the Southwest Missouri Office on Aging, funded, in part, by the Older Americans Act."
2740 E. Pythian St.,33575,Ashley House (formerly Regional Girls Shelter),,Springfield,MO,65802,GREENE COUNTY,417-862-9634,417-865-6507,,,,info@care4kids.org,www.pchas.org,,,,"Provides residential care for abandoned, abused or neglected girls in the area, most of whom are in the custody of the Family Services Division."
2740 E. Pythian St.,33576,Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary),,Springfield,MO,65802,GREENE COUNTY,417-862-9634,417-865-6507,,,,info@care4kids.org,www.pchas.org,,,,"Supports Ashley House which provides residential care for abandoned, abused or neglected girls in the area."
P.O. Box 8693,52694,ASIS International Ozarks Chapter,,Springfield ,MO,65801,GREENE COUNTY,417-987-1703,417-883-2309,,,,,www.asisonline.org,,,,Educational organization for security professionals.
,53027,Assistance Dogs of the Ozarks,,,,,WEBSTER COUNTY,417-753-3028,,,,,,,,,,"Provides information about assistance dogs for people with disabilities, a safety program for children, and training dogs to perform drug searches and rescues."
Southwest Center for Independent Living,33179,Assisting Consumers Through Technology (ACTT),2864 S. Nettleton Ave.,Springfield,MO,65807,GREENE COUNTY,417-886-1188,417-886-3619,417-886-1188,1-800-676-7245,,scil@swcil.org,www.swcil.org,Southwest Center for Independent Living,https://www.facebook.com/southwestcenterforindependentliving,@swcil_sgf,"Provides an array of devices and equipment that could allow people with any disability to live more easily and independently at home, school or work."
c/o Beisner Vision Rehabilitation Center of the Ozarks,WWWW,Association for the Blind,1661 W. Elfindale,Springfield,MO,65807,,417-823-9888 and 417-619-1309,,,,,,,,,,Provides resource information and support and social groups to people who are visually-impaired. Meets first and third Monday of each month.
P.O. Box 14022,34002,"Association for Women in Communications, Inc., Greater Springfield, Missouri, Area Professional Chapter",,Springfield,MO,65814,GREENE COUNTY,417-831-8505,,,,,,www.awcspringfieldmo.org,"Springfield, MO Association for Women in Communications",https://www.facebook.com/AWCSpringfieldMO,@awcspringfield,Champions the advancement of women in all communications disciplines.
P.O. Box 9892,33485,"Association of Fundraising Professionals, Ozarks Region",,Springfield,MO,65801-9892,GREENE COUNTY,417-864-3448,417-864-3499,,,,awingo@oacac-caa.org,www.afpozarksregion.afpnet.org,AFPOzarksRegion,https://www.facebook.com/AfpOzarksRegion,,"A professional organization dedicated to the mission of fundraising, education and community philanthropy."
"405 N. Jefferson Ave., Suite 1040 N",34001,"Association of Information Technology Professionals, Southwest Missouri Chapter",,Springfield,MO,65806,GREENE COUNTY,,,,,,president@aitpspringfield.org,www.aitpspringfield.org,AITP Southwest Missouri,https://www.facebook.com/aitpspringfield,@aitpspringfield,"Provides networking, education and involvement for everyone in information technology."
1235 E. Cherokee St.,34000,"Association of Professionals in Infection Control and Epidemiology, Inc.",,Springfield,MO,65804,GREENE COUNTY,417-820-6326,417-820-2797,,,,Judith.Walker@mercy.net,www.apic.org,,,,Works to meet the infection prevention needs of health care organizations and facilities in southwest Missouri.
6017 S. Brightwater Trail,33734,AT&T Pioneers,,Springfield,MO,65810,GREENE COUNTY,417-889-3864,,,,,doranna.manary@sbcglobal.net,,,,,Promotes community affairs and helps charities.
101 Clear Cove Drive,52867,AYUSA Global Youth Exchange,,Reeds Spring,MO,65737,STONE COUNTY,417-527-5318,417-708-0358,,,,tclary@ayusa.org,www.ayusa.org,,,,Places and supports foreign high school students in homes in Springfield and surrounding areas.
P.O. Box 8973,34005,Baha'i Information Office for Southwest Missouri,,Springfield,MO,65801-8973,GREENE COUNTY,417-864-5412,,,,,sabahaissgfmo@gmail.com,www.bahai-springfieldmo.org,,,,Serves as a contact source and disseminates information on the Baha'i Faith to the media.
211 West Center St.,33184,Beekeepers Association of the Ozarks,,Rogersville,MO,65742,GREENE COUNTY,,,,,,president@ozarksbeekeepers.org,www.ozarksbeekeepers.org,Ozarks Beekeepers,https://www.facebook.com/groups/OzarksBeekeepers/?fref=nf,,"Promotes beekeeping through informational, hands-on and personal learning experiences for beginners and experienced beekeepers. Monthly meetings on the fourth Tuesday of the month."
2754 S. Campbell Ave.,34008,"Better Business Bureau of Southwest Missouri, Inc.",,Springfield,MO,65807,GREENE COUNTY,417-862-4222,417-869-5544,,,,,www.southwestmissouri.bbb.org,BBB of Southwest Missouri,https://www.facebook.com/bbbsouthwestmissouri,@bbbswmo,Mediates consumer complaints and provides information and reports on businesses to the public.
3372 W. Battlefield Road,33187,Big Brothers Big Sisters of the Ozarks,,Springfield,MO,65807,GREENE COUNTY,417-889-9136,417-889-8339,,,,bbbs@bigbro.com,www.bigbro.com,Big Brothers Big Sisters of the Ozarks,https://www.facebook.com/BBBSOzarks,@bigbrobigsis,"Provides children facing adversity with strong and enduring, professionally supported one-to-one relationships that change their lives for the better, forever."
424 E. Commercial St.,5558,Bill's Place -- Burrell Behavioral Health Homeless Services,,Springfield,MO,65803,,417-761-5520,417-761-5521,,,,michael.lehman@burrellcenter.com,,,,,"A drop-in center that offers counseling to the homeless, the mentally ill and the general public."
1330 E. Cherry St. Suite L-2,34009,"Birthright, Inc.",,Springfield,MO,65806,GREENE COUNTY,417-865-3430,,,1-800-550-4900,1-800-550-4900,kafmehl@gmail.com,www.birthright.org,,,,"Encourages pregnant women to carry their babies to term, and provides free pregnancy tests."
454 S. Springfield Ave.,54119,Bolivar Area Chamber of Commerce,P.O. Box 202,Bolivar,MO,65613,POLK COUNTY,417-326-4118,,,,,info@bolivarchamber.com,www.bolivarchamber.com,Bolivar Area Chamber of Commerce,https://www.facebook.com/bolivarchamber,,"Promotes the advancement of commercial, industrial and civic interests of Bolivar, Missouri, and its trade area."
1616 S. Eastgate Ave.,34010,"Boy Scouts of America, Ozark Trails Council",,Springfield,MO,65809,GREENE COUNTY,417-883-1636,417-883-2534,,,,council306@ozarktrailsbsa.org,www.ozarktrailsbsa.org,,,,"Provides comprehensive youth development programs, enabling development of self-esteem, self-confidence and ethical decision-making abilities and helping youth reach their full life's potential."
1410 N. Fremont Ave.,33190,Boys & Girls Clubs of Springfield Partners in Education (formerly Auxiliary),,Springfield,MO,65802,GREENE COUNTY,417-862-9249,417-862-4952,,,,dherren@bgclubspringfield.org,www.bgclubspringfield.org,Boys & Girls Clubs of Springfield,https://www.facebook.com/bgclubspringfield.org,@BGC Springfield,Supports the Boys and Girls Clubs of Springfield and furnishes scholarships and secondary educational funding for youth.
1410 N. Fremont Ave.,24628,"Boys & Girls Clubs of Springfield, Inc.",,Springfield,MO,65802,GREENE COUNTY,417-862-9249,417-862-4952,,,,rcarpenter@bgclubspringfield.org,www.bgclubspringfield.org,,,,Provides after-school and summer educational and recreational activities for children.
3424 S. Rogers Ave.,9220200,Bradford Park Neighborhood Association,,Springfield,MO,65804,,417-882-2801,,,,,dellene007@aol.com,,,,,"Promotes the interests of the residents of the area defined as Battlefield Road on the north, James River Freeway on the south, National Avenue on the west, and Glenstone Avenue on the east."
2626 W. College St.,33926,"Brain Injury Association of America, Springfield, Missouri, Chapter",,Springfield,MO,65802,GREENE COUNTY,417-862-1753,417-864-7981,417-862-9918,1-800-778-9317,,mmilleson@aoinc.org,www.biamo.org,,,,"Provides information, education, support and socialization for brain injury survivors, their families, caregivers and others who wish to learn more about brain injuries."
2626 W. College Road,RRRR,Brain Injury Support Group,,Springfield,MO,65802,,417-862-1753,417-864-7981,417-862-9918,1-800-778-9317,,mmilleson@aoinc.org,www.aoinc.org,,,,Support group for brain injury survivors.
1001 E. Chestnut Expressway,33492,Breaking Traditions,,Springfield,MO,65802,GREENE COUNTY,417-447-6970,417-447-6979,,,,charlebm@otc.edu,www.otc.edu/careercenter/breakingtraditions.php,,,,Supports career development with an emphasis on nontraditional (by gender) careers and occupations. Provides financial assistance for OTC students who are pursuing career and technical education certificate and/or degree programs and are non-traditional (by gender) or single parents.
330 N. Jefferson Ave.,33213,Breast Cancer Foundation of the Ozarks,,Springfield,MO,65806,GREENE COUNTY,417-862-3838,417-862-3830,,1-866-874-1915,,jill@bcfo.org,www.bcfo.org,,,,"Serves as a resource for individuals and families in southwest Missouri and the four states region impacted by breast cancer; provides financial assistance to those in treatment for breast cancer, emotional support through support groups and a mentoring program, free Screening Mammogram Program to promote early detection, educational programs focused on prevention and early detection, and Lymphedema Garment Program for the uninsured and underinsured impacted by breast cancer."
3461 W. Broadmoor St.,33196,"Brentwood Garden Club, FGCM",,Springfield,MO,65807,GREENE COUNTY,417-889-2828,,,,,cjs6972@yahoo.com,,,,,"Learn about gardening in the Ozarks, encourage home, community, state and national beautification. Helps maintain the four quadrants of the Perennial Garden in Nathanael Greene Park as a member of the Springfield FGCM."
1248 N. Fender,50440,British Sterling Club,,Springfield,MO,65803,CHRISTIAN COUNTY,417-866-5258,,,,,tek1933@aol.com,,,,,A group that meets once a month for tea and to reminisce about Britain.
1300 Bradford Parkway,33200,Burrell Behavioral Health,,Springfield,MO,65804,GREENE COUNTY,417-761-5000,417-761-5521,417-761-5002,1-800-299-1334,24 hr. Crisis Line--417-862-6555 locally or 1-800-494-7355,denise.mills@burrellcenter.com,www.burrellcenter.com,,,,"Provides a comprehensive array of behavioral health treatment, rehabilitation and education services; operates a suicide prevention hotline that serves Polk, Greene, Webster, Christian, Stone and Taney counties in Missouri."
1544 Keithley Road,102292,Buttonhole Babes Appliqué Group,,Walnut Shade,MO,65771,,417-443-2478,,,,,jamesr78@centurylink.net,,,,,Teaches and learns about various methods of appliqué and quilting. New members are welcome.
P.O. Box 215,50073,C.A.R.E. Animal Rescue ,1328 W. Sunshine St. (Adoption Center),Aurora,MO,65605,LAWRENCE COUNTY,417-851-5008,,,,417-875-6565,carerescue@yahoo.com,www.carerescue.org,C.A.R.E. Animal Rescue,https://www.facebook.com/careanimalrescue,@CAREanimalrescu,"A no-kill, state-licensed rescue organization working with traditional shelters to rescue animals from death row. Works with law enforcement agencies to rescue abused and neglected animals. Adoption center located at 1328-A. W. Sunshine St. in Springfield."
901 Teas Trail 2060,HHHH,Camp Barnabas,P.O. Box 3200 Springfield MO 65808,Purdy,MO,65734,,417-476-2565,417-887-1300,,,,info@campbarnabas.org,www.campbarnabas.org,Camp Barnabas,https://www.facebook.com/campbarnabas,@CampBarnabas,Provides life-changing summer camp experiences for children and adults with special needs and chronic illnesses.
"1730 E. Republic Road, Suite V",33201,Cancer Research for the Ozarks (CRO),,Springfield,MO,65804,GREENE COUNTY,417-269-4520,417-269-4653,,1-800-821-7532,,debbie.cane@coxhealth.com,www.ozarkscancerresearch.org,Cancer Research for the Ozarks,https://www.facebook.com/CancerResearchfortheOzarks,,"Research nurses and clinical research associates working with area oncologists, radiation oncologists and other physicians treating cancer to place patients who desire on clinical trials approved by the National Cancer Institute."
411 N. Sherman Parkway,94004,Care to Learn,,Springfield,MO,65802,,417-862-7771,,,,,mmechlin@caretolearnfund.org,www.caretolearnfund.org,Care to Learn,https://www.facebook.com/caretolearnfund,@caretolearn,"Provides emergency services in the area of health, hunger and hygiene. Services are provided to students in Springfield, Bolivar, Clever, Fordland, Logan-Rogersville, Ozark, Nixa, Republic and Willard Public Schools and Ozarks Technical Community College."
"164 Corporate Drive, Suite T",59940,Caring People,,Branson,MO,65616,,417-334-0131,1-417-334-0132,,1-877-227-3525 (877-CARE-525),,info@thecaringpeople.org,www.thecaringpeople.org,The Caring People,https://www.facebook.com/thecaringpeople,,Provides a Christian mentoring program for single mothers.
"1111 S. Glenstone Ave., Suite 2-100",33229,CASA of Southwest Missouri,,Springfield,MO,65804,GREENE COUNTY,417-864-6202,417-864-6280,,,,preiser@casaswmo.org,www.casaswmo.org,CASA of Southwest Missouri,https://www.facebook.com/casaswmo?ref=hl,,Seeks out and supplies trained community volunteers appointed by the juvenile court to act as advocates for abused and neglected children.
424 E. Monastery St.,XXXX,"Catholic Charities of Southern Missouri, Inc.",,Springfield,MO,65807,Greene,417-720-4213,417-720-4216,,,,info@ccsomo.org,www.ccsomo.org,Catholic Charities of Southern Missouri,https://www.facebook.com/CCSOMO,,"Seeks to ensure that individuals and families in need receive necessary social services, obtain a sense of hope and achieve self-sufficiency. Serves individuals of all faiths, races and ethnic backgrounds. Services include homelessness prevention, disaster response, home repairs for survivors of natural disasters and low-income seniors, crisis maternity home, supportive services for veterans and their families, support for developmentally disabled, mental health and family counseling and much more."
240 South Ave. - Park Central Office Building Suite 107,53036,Center City Counseling Clinic,,Springfield,MO,65897,GREENE COUNTY,417-836-3215,417-836-8566,,,,REFarris@missouristate.edu,www.education.missouristate.edu/counseling/cccc,,,,"Provides individual, couples and family counseling, a fully-equipped play therapy clinic and child-parent relationship training classes for a nominal fee. Sliding fee scales apply as well."
"Missouri State University, CDR",33948,Center for Dispute Resolution,901 S. National Ave.,Springfield,MO,65897,GREENE COUNTY,417-836-8831,417-836-8288,,,,cdr@missouristate.edu,www.missouristate.edu/cdr,,,,"Offers mediator training, conducts workshops and presentations; provides mediation services and referrals, and supports community programs and educational and research activities."
3433 South Campbell Ave.,52968,Champion Athletes of the Ozarks,,Springfield,MO,65807,GREENE COUNTY,417-890-1599,417-890-1613,,,,sqmiles@championathletes.org,www.championathletes.org,Champion Athletes of the Ozarks,https://www.facebook.com/pages/Champion-Athletes-of-the-Ozarks/343748617301,,"Builds self-esteem, self-confidence and everyday life skills of children and adults with disabilities through education, sports competition, teaching basic life skills, creating job experiences and reinforcing good social skills."
P.O. Box 2015,39488,CHANCES of Stone County,,Branson West,MO,65737,STONE COUNTY,417-569-0387,,,,,,www.weneedachance.org,CHANCES of Stone County,https://www.facebook.com/pages/CHANCES-of-Stone-County/212642826784,,"Promotes the opportunity for residents with developmental disabilities living in Stone County to live more satisfying lives by providing programs that promote inclusion, acceptance and acknowledgment of ability through community involvement, and facilitating more citizen involvement through a mentor program."
3841 W. Rockwood St.,AAA000,Chase Educational Foundation,,Springfield,MO,65807,GREENE COUNTY,417-234-9339,,,,,info@tcef.org,www.cef.dynalias.org,,,,"Provides opportunities to expand one's knowledge of society, culture, academics, and business in other countries through travel and interaction with citizens of those countries."
1609 N. Farm Road 197,33208,"Cherry Court Garden Club, FGCM",,Springfield,MO,65802,GREENE COUNTY,417-350-5807,,,,,spenny687@aol.com,,,,,"Promotes interest in horticulture and helps members gain skill in growing plants and designing using plant material. Sponsors the horticulture division of the Ozark Empire Fair, and supports activities at the Springfield Botantical Gardens."
1033 E. Walnut St.,33209,"Child Advocacy Center, Inc.",,Springfield,MO,65806,GREENE COUNTY,417-831-2327,417-831-5122,,,,barbara@childadvocacycenter.org,www.childadvocacycenter.org,,,,Provides a child-friendly setting in which to offer objective forensic interviews and sensitive medical exams for alleged victims of child abuse.
1710 E. Chestnut Expressway,24627,Child Care Aware® of Southern Missouri/Early Childhood One Stop,,Springfield,MO,65804,GREENE COUNTY,417-887-3545,417-823-9459,,1-800-743-8497,,npiper@ccochildcare.org,www.ccozarks.org/CCAsouthernMO,Child Care Aware of Southern Missouri,www.facebook.com/CCAsouthernMO,@CCAsouthernMO,Child Care Aware® of Southern Missouri provides ongoing support to child care professionals through on-site technical assistance and group training opportunities.
,,,,,,,,,,,,,,,,,,"The Early Childhood One Stop is a referral service for families with children six and under. Information and referrals address needs such as child care, recreational activities, financial assistance, early childhood development, etc."
