ADDRESS 1,RESOURCE ID,RESOURCE NAME,ADDRESS 2,CITY,STATE,ZIP,COUNTY,PHONE,FAX,TTY,TOLL-FREE,HOTLINE,EMAIL,WEB PAGE,FACEBOOK NAME,FACEBOOK URL,TWITTER,SERVICES
1410 N. Fremont Ave.,33190,Boys & Girls Clubs of Springfield Partners in Education (formerly Auxiliary),,Springfield,MO,65802,GREENE COUNTY,417-862-9249,417-862-4952,,,,dherren@bgclubspringfield.org,www.bgclubspringfield.org,Boys & Girls Clubs of Springfield,https://www.facebook.com/bgclubspringfield.org,@BGC Springfield,Supports the Boys and Girls Clubs of Springfield and furnishes scholarships and secondary educational funding for youth.
1410 N. Fremont Ave.,24628,"Boys & Girls Clubs of Springfield, Inc.",,Springfield,MO,65802,GREENE COUNTY,417-862-9249,417-862-4952,,,,rcarpenter@bgclubspringfield.org,www.bgclubspringfield.org,,,,Provides after-school and summer educational and recreational activities for children.
1300 Bradford Parkway,33200,Burrell Behavioral Health,,Springfield,MO,65804,GREENE COUNTY,417-761-5000,417-761-5521,417-761-5002,1-800-299-1334,24 hr. Crisis Line--417-862-6555 locally or 1-800-494-7355,denise.mills@burrellcenter.com,www.burrellcenter.com,,,,"Provides a comprehensive array of behavioral health treatment, rehabilitation and education services; operates a suicide prevention hotline that serves Polk, Greene, Webster, Christian, Stone and Taney counties in Missouri."
411 N. Sherman Parkway,94004,Care to Learn,,Springfield,MO,65802,,417-862-7771,,,,,mmechlin@caretolearnfund.org,www.caretolearnfund.org,Care to Learn,https://www.facebook.com/caretolearnfund,@caretolearn,"Provides emergency services in the area of health, hunger and hygiene. Services are provided to students in Springfield, Bolivar, Clever, Fordland, Logan-Rogersville, Ozark, Nixa, Republic and Willard Public Schools and Ozarks Technical Community College."
"164 Corporate Drive, Suite T",59940,Caring People,,Branson,MO,65616,,417-334-0131,1-417-334-0132,,1-877-227-3525 (877-CARE-525),,info@thecaringpeople.org,www.thecaringpeople.org,The Caring People,https://www.facebook.com/thecaringpeople,,Provides a Christian mentoring program for single mothers.
"1111 S. Glenstone Ave., Suite 2-100",33229,CASA of Southwest Missouri,,Springfield,MO,65804,GREENE COUNTY,417-864-6202,417-864-6280,,,,preiser@casaswmo.org,www.casaswmo.org,CASA of Southwest Missouri,https://www.facebook.com/casaswmo?ref=hl,,Seeks out and supplies trained community volunteers appointed by the juvenile court to act as advocates for abused and neglected children.
424 E. Monastery St.,XXXX,"Catholic Charities of Southern Missouri, Inc.",,Springfield,MO,65807,Greene,417-720-4213,417-720-4216,,,,info@ccsomo.org,www.ccsomo.org,Catholic Charities of Southern Missouri,https://www.facebook.com/CCSOMO,,"Seeks to ensure that individuals and families in need receive necessary social services, obtain a sense of hope and achieve self-sufficiency. Serves individuals of all faiths, races and ethnic backgrounds. Services include homelessness prevention, disaster response, home repairs for survivors of natural disasters and low-income seniors, crisis maternity home, supportive services for veterans and their families, support for developmentally disabled, mental health and family counseling and much more."
1033 E. Walnut St.,33209,"Child Advocacy Center, Inc.",,Springfield,MO,65806,GREENE COUNTY,417-831-2327,417-831-5122,,,,barbara@childadvocacycenter.org,www.childadvocacycenter.org,,,,Provides a child-friendly setting in which to offer objective forensic interviews and sensitive medical exams for alleged victims of child abuse.
1710 E. Chestnut Expressway,24627,Child Care Aware® of Southern Missouri/Early Childhood One Stop,,Springfield,MO,65804,GREENE COUNTY,417-887-3545,417-823-9459,,1-800-743-8497,,npiper@ccochildcare.org,www.ccozarks.org/CCAsouthernMO,Child Care Aware of Southern Missouri,www.facebook.com/CCAsouthernMO,@CCAsouthernMO,Child Care Aware® of Southern Missouri provides ongoing support to child care professionals through on-site technical assistance and group training opportunities.
,,,,,,,,,,,,,,,,,,"The Early Childhood One Stop is a referral service for families with children six and under. Information and referrals address needs such as child care, recreational activities, financial assistance, early childhood development, etc."
1710 E. Chestnut Expressway,33210,Child Care Food Program,,Springfield,MO,65802,GREENE COUNTY,417-865-8427,417-865-6437,,1-800-818-6812,,vicki@ccfpfood.com,www.ccfpfood.com,,,,USDA reimbursement program for licensed and registered child care providers for the meals fed to children in care; an operating agency of Council of Churches of the Ozarks.
"3525 S. National Ave., Suite 203",33930,Children's Miracle Network of CoxHealth,,Springfield,MO,65807,GREENE COUNTY,417-269-6853,417-269-8818,,,,tim.siebert@coxhealth.com,www.coxhealthcmn.com,,,,Provides financial assistance to families who have children ages birth through 18 with special medical needs.
601 N. 21st St.,54436,Children's Smile Center,P.O. Box 1833,Ozark ,MO,65721,CHRISTIAN COUNTY,417-582-5439,417-485-5455,,,,info@childrenssmilecenter.org,www.childrenssmilecenter.org,Children's Smile Center,https://www.facebook.com/childrenssmilecenter,,"Provides preventive and primary dental care for children ages 1 to 19 and pregnant women with active Medicaid who reside in Christian, Taney, Stone, Barry, Lawrence and Dade counties."
P.O. Box 1276,gg,Christian County Family Crisis Center (aka Freedom's Rest),,Ozark,MO,65721,,414-582-0344,,,,417-299-2494,,,Freedom's Rest,https://www.facebook.com/freedomsrest1,,Provides emergency shelter and case management services for victims of domestic violence.
227 E. Chestnut Expressway,52877,City of Springfield: Mayor's Commission for Children,,Springfield,MO,65802,GREENE COUNTY,417-864-1656,417-864-1099,,,,dbredfel@springfieldmo.gov,www.redwagonkids.net,"City of Springfield, MO - Connect with SGF",https://www.facebook.com/CityofSGF,@CityofSGF,"Educates and mobilizes the community on children's issues, especially early childhood education."
1505 N. Boonville Ave.,33150,City Utilities: Access Express,,Springfield,MO,65803,GREENE COUNTY,417-831-8782,417-831-8803,,,,melissa.spurlock@cityutilities.net,www.cityutilities.net,,,,Provides paratransit service for disabled people who are unable to access the regular city bus service.
1505 N. Boonville,ZZZZ,City Utilities: Transit Services,,Springfield,MO,65803,Greene,417-831-8782,,,,,,www.cutransit.net,"City Utilities of Springfield, MO",https://www.facebook.com/cityutilities.net,@cutransit,Public transit system for the city of Springfield.
425 E. Trafficway,34024,"Community Foundation of the Ozarks, Inc.",P.O. Box 8960,Springfield,MO,65801,GREENE COUNTY,417-864-6199,417-864-8344,,1-888-266-6815,,cfo@cfozarks.org,www.cfozarks.org,Community Foundation of the Ozarks,https://www.facebook.com/cfozarks?ref=br_tf,@cfozarks,"Supports community development through endowment building, community grant making, collaboration and public leadership."
330 N. Jefferson Ave.,34025,Community Partnership of the Ozarks,,Springfield,MO,65806,GREENE COUNTY,417-888-2020,417-888-2322,,,,info@commpartnership.org,www.commpartnership.org,Community Partnership of the Ozarks,https://www.facebook.com/CPOzarks,@cpozarks,We partner with others to create the community you want to live in.
1515 South Glenstone Ave.,33224,"Consumer Credit Counseling Service of Springfield, Missouri, Inc. (CCCS)",P.O. Box 10266,Springfield,MO,65808,GREENE COUNTY,417-889-7474,417-881-7713,,1-800-882-0808,,,www.shredyourdebt.org,CCCS of the Ozarks,https://www.facebook.com/CCCSoftheOzarks,,"Provides one-on-one personal financial counseling; works out repayment arrangements with creditors; helps clients get relief from collector phone calls, over-limit fees and late fees with credit card companies and other unsecured debt; assists with budgeting, debt management plans and credit education; provides pre-filing bankruptcy counseling, pre-foreclosure housing counseling and mortgage delinquency counseling."
330 S. Patterson Ave.,53642,Convoy of Hope,,Springfield,MO,65802,GREENE COUNTY,417-823-8998,417-823-8244,,1-800-988-0664,,info@convoyofhope.org,www.convoyofhope.org,Convoy of Hope,https://www.facebook.com/convoyofhope?ref=bookmarks,@ConvoyofHope,"A faith-based organization with a driving passion to feed the world through children's feeding initiatives, community outreaches, disaster response and partner resourcing."
P.O. Box 848,AAA999,Cover Your Bum Cloth Diaper Bank,,Springfield,MO,65801,,417-812-6BUM (messages only),,,,,coveryourbumdiapers@gmail.com,www.coveryourbum.net,Cover Your Bum Cloth Diaper Bank,https://www.facebook.com/coveryourbumclothdiaperbank?fref=ts,,"Loans cloth diapers to families in need of a little extra support. Assists parents who want better, cheaper diapering options but fear startup costs. By providing a limited time loan, it helps families decide if cloth diapering is right for them, and helps them save money by purchasing cloth diapers. CYB also provides training for how to care for cloth diapers and how to choose effective, budget friendly cloth diaper options."
Cox Medical Center North,1160,CoxHealth Center For Addictions,1423 N. Jefferson Ave.,Springfield,MO,65802,GREENE COUNTY,417-269-2273,417-269-8851,,,,gene.davison@coxhealth.com,www.coxhealth.com,,,,Provides out-patient substance abuse treatment for adults.
615 N. Glenstone Ave.,32153,Crosslines,,Springfield,MO,65802,GREENE COUNTY,417-869-0563,417-864-4614,,,,randerson@ccozarks.org,www.crosslines.org,Crosslines of Springfield,https://www.facebook.com/Crosslines.Springfield,@CrosslinesSgf,"Provides emergency assistance to low-income families. Primary services include a food pantry; other services include diapers, prenatal and children's vitamins, voicemail for job seekers and seasonal help with coats, holiday food baskets and Christmas toys; an operating agency of the Council of Churches of the Ozarks."
615 N. Glenstone,vv,Diaper Bank of the Ozarks,,Springfield,MO,65802,,417-848-5049,,,,,jillbright61@gmail.com,www.diaperbankoftheozarks.org,Diaper Bank of the Ozarks,,,"Distributes disposable diapers to families in need and provides education, supplies and support for families who wish to learn more about the cloth diaper option."
1126 N. Broadway Ave.,BBB555,Drew Lewis Foundation at the Fairbanks,,Springfield,MO,65802,,417-720-1890,,,,,thefairbanksinfo@gmail.com,www.thefairbankssgf.com,The Fairbanks,https://www.facebook.com/TheFairbanksSGF,@thefairbankssgf,"The mission of the Drew Lewis Foundation is to improve the quality of life in under-served urban neighborhoods. To accomplish this, the Foundation partners with existing area organizations to establish community hubs, which serve to boost the economic and physical wellness of neighborhood residents of all ages. These outcomes are achieved through a variety of means, including education and vocational programs, garden-to-table initiatives, public health services and community events."
Springfield-Greene County Library District: Midtown Carnegie Branch Library,52925,Edge Community Technology Center,397 E. Central St.,Springfield,MO,65802,GREENE COUNTY,417-837-5011,417-866-1259,,,,askalibrarian@thelibrary.org,thelibrary.org,,,,Offers lifelong learning opportunities in computer software and Internet training for adults. Sessions are free and open to the public. Part of the Springfield-Greene County Library District.
330 N. Jefferson Ave.,53205,Educare,,Springfield,MO,65806,GREENE COUNTY,417-888-2020,417-888-2322,,,,,www.commpartnership.org,,,,"Provides training, coaching and support programs for unlicensed child care providers that serve families receiving DSS child care subsidy; a program of the Community Partnership of the Ozarks."
1461 E. Seminole St.,33259,Eldercare Transit Service,,Springfield,MO,65804,GREENE COUNTY,417-882-4243,417-882-3793,,,,daybreakonseminole@hotmail.com,www.ccozarks.org,Daybreak Adult Day Care,https://www.facebook.com/pages/Daybreak-Adult-Day-Care/140140399351694,,"Provides door-through-door, non-emergency medical transportation services benefiting elderly or disabled individuals. Part of Daybreak Adult Day Care."
"1370 E. Primrose Ave., Suite A",54487,First Steps (System Point of Entry) (SPOE),,Springfield,MO,65804,GREENE COUNTY,417-886-0404,417-863-9889,,1-866-583-2392,,christy@abilitiesfirst.net,www.abilitiesfirst.net,,,,Missouri's early intervention program which is designed to help families build capacity to support their children (from birth to age three) with developmental disorders or delays.
P.O. Box 7108,OOOO,Friends Against Hunger,,Springfield,MO,65801-7108,,417-773-1639,,,,,director@fahunger.org,www.fahunger.org,Friends Against Hunger,https://www.facebook.com/FriendsAgainstHunger?fref=ts,@FAHunger,"Provides specially-formulated, packaged food for hungry people in the United States and starving people around the world."
1111 S. Glenstone Ste 120,BBB999,Girls on the Run of Southwest Missouri,P.O. Box 14216,Springfield,MO,65814,,417-763-3646,,,,,gotrswmo@gotrswmo.org,www.gotrswmo.org,Girls on the Run of Southwest Missouri,https://www.facebook.com/gotrswmo,@gotrswmo,"An empowering after school program for girls in grades 3-8 that uses game-based exercise curriculum to teach life skills. The lessons encourage postivie emotional, social, mental and physical development. Physcial activity is used to inspire an appreciation of fitness and build habits that lead to lifetime health. Our mission is to inspire girls to be joyful, healthy and confident using a fun, experience-based curriculum which creatively integrates running."
5549 N. Highway K,34042,Good Samaritan Boys Ranch,P.O. Box 617,Brighton,MO,65617-0617,POLK COUNTY,417-376-2238,417-376-2014,,,,information@ranchlife.org,www.ranchlife.org,Good Samaritan Boys Ranch,https://www.facebook.com/pages/Good-Samaritan-Boys-Ranch/159421550739446,@boysranchmo,State-licensed residential treatment facility for boys in the state of Missouri; also provides transitional living programs for young men and women ages 16-21 leaving the foster care system.
424 E. Norton Road,AAA333,Good Samaritan Boys Ranch: Footsteps Transitional Living for Boys,,Springfield,MO,65803,,417-864-6698,417-865-4527,,,,info@footstepsliving.com,www.ranchlife.org,Footsteps Transitional Living,https://www.facebook.com/pages/Footsteps-Transitional-Living/138242839533396,,Footsteps is a transitional living program for young men preparing to age out of the foster care system.
300 S. Main,AAA444,"Good Samaritan Boys Ranch: Laura's Home, Transitional Living for Girls",,Willard,MO,65781,,417-708-5166,417-763-3472,,,,information@ranchlife.org,www.ranchlife.org,Good Samaritan Boys Ranch,https://www.facebook.com/pages/Good-Samaritan-Boys-Ranch/159421550739446,,A group home in Willard which provides transitional living services to girls ages 16-21 in the foster care system.
424 E. Stanford St.,33312,Grandparents United For Children's Rights of Missouri,,Springfield,MO,65807,GREENE COUNTY,417-862-9862,,,,,,,,,,Supports legislation dealing with visitation and other rights of grandparents.
1212 W. Lombard St.,52658,Great Circle (formerly Boys and Girls Town of Missouri),,Springfield,MO,65806,GREENE COUNTY,417-865-1646,417-866-1483,,,,maryjane.kelly@great-circle.org,www.greatcircle.org,Great Circle,https://www.facebook.com/greatcircleorg,@GreatCircleOrg,"Strives to improve the lives of children with emotional and behavioral problems through superior, family-focused, community based services."
P.O. Box 1642,1111,H.O.P.E. Foundation,,Springfield,MO,65806,Greene,417-316-3216,417-429-2950,,,,hopeapplication@hotmail.com,www.askforhope.org,,,,The H.O.P.E. Foundation assists families by Helping Overcome Pediatric Emergencies. Our not-for-profit organization addresses needs not covered by national foundations and insurance.
2410 S. Scenic Ave.,24625,"Habitat for Humanity of Springfield, Missouri, Inc.",,Springfield,MO,65807,GREENE COUNTY,417-829-4001,417-829-4003,,,,info@habitatspringfieldmo.org,www.habitatspringfieldmo.org,"Habitat for Humanity of Springfield, MO",https://www.facebook.com/habitatspringfieldmo/restore,@HFHSpringfield,"Habitat for Humanity of Springfield, MO, INC. (HFHS) builds and revitalizes homes in partnership with very low-income individuals or families to achieve the vision of everyone having a decent place to live. HFHS utilizes volunteers to build and revitalize the homes for the HFHS program. Volunteers also assist in the HFHS ReStore, a store that sells new and gently used building materials, furniture, and home goods to financially support the mission of the organization."
P.O. Box 5972,1174,Harmony House,,Springfield,MO,65801,GREENE COUNTY,417-837-7700,417-837-7707,417-837-7705,1-800-831-6863,417-864-7233,brittneyw@myharmonyhouse.org,www.myharmonyhouse.org,Harmony House,https://www.facebook.com/MyHarmonyHouse,@myharmonyhouse,3
9617 Farm Road 2190,52879,"Haven of the Ozarks, Inc.",,Washburn,MO,65772,BARRY COUNTY,417-835-3647,417-835-0029,,,,thehaven@centurylink.net,www.thehaven.petfinder.org,Haven of the Ozarks Animal Sanctuary,https://www.facebook.com/HavenoftheOzarks,@havenofozarks,"A ""no-kill"" facility that provides long-term care to dogs and cats until adoption and educates the public on humane treatment of animals and the importance and impact of spaying and neutering dogs and cats."
2157 N. Prospect Ave.,59585,Heart of the Ozarks and Hand Extended Outreach Pantry,,Springfield,MO,65803,,417-848-5433,417-864-7131,,,,handextendedoutreach@yahoo.com,,,,,"The pantry provides emergency food; Heart of the Ozarks provides ""Access to Recovery,"" a faith-based substance abuse counseling program, and sponsors a Christmas ""pass it on"" gift program for clients of the pantry."
"2032 E. Kearney, Suite 214",BBB888,Higher Ground Recovery Center,,Springfield,MO,65803,,417-869-0700,417-869-0705,,,,shahn@higherground417.org,,Higher Ground Recovery Center,https://www.facebook.com/highergroundrecovery/?fref=ts,,A state certified Christian-based substance abuse outpatient program.
2750 W. Bennett St.,54716,"Isabel's House (Crisis Nursery of the Ozarks, Inc.)",,Springfield,MO,65802,GREENE COUNTY,417-865-2273,417-865-3081,,,417-865-2273 (CARE),isabel@isabelshouse.org,www.isabelshouse.org,,,,"Provides immediate refuge for children whose families are in crisis due to homelessness, medical emergencies, drug rehabilitation or overwhelming stress; partners with families and the community to strengthen families and prevent child abuse and neglect."
440 E. Tampa St.,53772,Jordan Valley Community Health Center -- Dental,,Springfield,MO,65806,GREENE COUNTY,417-831-0150,417-831-0155 (medical records),,,,jmorris@jordanvalley.org,www.jordanvalley.org,,,,"Our dental professionals care about their patients. With general and pediatric dentistry available, our dental team works to build relationships that result in patients making an active choice to improve their dental health."
440 E. Tampa St.,392002,Jordan Valley Community Health Center--Medical,,Springfield,MO,65806,,417-831-0150,417-831-0155 (medical records),,,,sridinger@jordanvalley.org,www.jordanvalley.org,,,,"We’re proud to provide family medicine, gynecology/women’s health, prenatal care, pediatrics, primary and preventive health, immunizations, lab services, X-ray, behavioral health and more. We’ve partnered with the Springfield-Greene County WIC program to make these services and more available to our patients under one roof."
440 S. Market Ave.,33415,Lakeland Behavioral Health System,,Springfield,MO,65806,GREENE COUNTY,417-865-5581,417-865-5964,417-865-5223,1-800-432-1210,,neil.frost@yfcs.com,www.lakelandbehavioralhealth.com,Lakeland Behavioral Health System,https://www.facebook.com/lakelandbehaivoralhealth?fref=ts,,"Offers eight unique acute inpatient and residential programs to children and adolescents to assist families with their psychiatric needs. The acute care programs range from a few days to a few weeks and are very intensive in nature. The goal of acute services is to evaluate and address the crisis and transition the child or adolescent back into their home environment with supportive service. Residential programs assist older children, adolescents and young adults who have ongoing psychiatric issues and are unable to maintain and thrive in their home environment. Average lengths of stay can range from a few months to a year."
511 W. Kathryn,50441,"Least of These, Inc.",P.O. Box 808,Nixa,MO,65714,CHRISTIAN COUNTY,417-724-2500,417-724-9788,,,,leastofthesefoodpantry@gmail.com,www.leastofthesefoodpantry.com,"Least of These, Inc.",https://www.facebook.com/LeastofThese,@Ccfoodpantry,"Provides a food pantry that distributes perishable and non-perishable foods; also provides clothing and household items, (not furniture or appliances,) as available, to residents of Christian County."
809 N. Campbell Ave.,34059,Legal Services of Southern Missouri,,Springfield,MO,65802,GREENE COUNTY,417-881-1397,417-881-2159,,1-800-444-4863,,media@lsosm.org,www.lsosm.org,Legal Services of Southern Missouri,https://www.facebook.com/pages/Legal-Services-of-Southern-Missouri/138347666196533,@LSOSM,"Provides free legal representation to low income clients in a number of civil legal problems; criminal defense representation is not provided; handles cases involving public benefits, housing, unemployment compensation, family, consumer education, employment, health and other matters."
424 E. Monastery St.,0,LifeHouse Crisis Maternity Home,,Springfield,MO,65807,GREENE COUNTY,417-720-4213,,,,,,www.lifehousecmh.org,LifeHouse Crisis Maternity Home,https://www.facebook.com/pages/LifeHouse-Crisis-Maternity-Home/112256885458825,,"Protect the unborn and their mothers in crisis situations by providing food, shelter, advocacy and education in a safe and loving environment."
2130 N. Glenstone Ave.,33433,Lutheran Family and Children's Services of Missouri (LFCS),,Springfield,MO,65803,GREENE COUNTY,417-862-1972,417-862-3276,,1-866-326-LFCS,,lauraf@lfcs.org,www.lfcsmo.org,Lutheran Family and Children's Services of Missouri-Southwest,https://www.facebook.com/LFCS.Southwest,,"Provides pregnancy counseling for women and families facing an unplanned pregnancy; offers professional case management and counseling support through the baby's first year; offers option of adoption, if the family is interested, along with birth parent support groups; other services include adoption services for families who want to expand their family through domestic, international, or independent adoption, as well as foster parent training and support for families who want to adopt from the foster care system."
1312 E. Lark St.,52897,Mercy Clinic Behavioral Health - Lark,,Springfield,MO,65804,GREENE COUNTY,417-820-3707,417-820-7954,,,,,www.mercy.net,,,,Provides out-patient psychiatric care for Mercy Hospital Springfield.
"1235 E. Cherokee St., 1H",33732,Mercy Family Resource Center,,Springfield,MO,65804,GREENE COUNTY,417-820-2327,417-820-7386,,,,mercy.net/patient-feedback,www.mercy.net/springfieldmoms,Mercy,https://www.facebook.com/MercyHealth,@MercySGF,"Offers a variety of interesting, fun and informative classes for expectant parents, siblings and grandparents; inpatient and outpatient lactation services and classes; pediatric nutrition services."
1845 S. Rogers,33439,Mercy Marian Center,,Springfield,MO,65804,GREENE COUNTY,417-820-7447,417-820-3085,,1-866-785-7447,,sonya.kullmann@mercy.net,www.mercy.net,,,,Provides in-patient psychiatric care and outpatient treatment programs for addiction recovery for adults.
"2720 Shepherd of the Hills Expressway, Suite B",xx,Missouri Career Center,,Branson,MO,65616,,417-334-4156,417-334-4159,,1-888-728-JOBS,,branson@ded.mo.gov,www.jobs.mo.gov,,,,"Offers job seekers a variety of services, programs and resources to assist in locating training and employment opportunities. Provides employers with tools to locate workforce information and assist with recruitment efforts."
2900 E. Sunshine,41940,Missouri Career Center,,Springfield,MO,65804,GREENE COUNTY,417-887-4343,417-888-4076,1-800-735-2966,1-800-562-7284 (1-800-JOB PATH),,springfield@ded.mo.gov,www.springfieldmo.gov/careercenter,Missouri Career Center – Ozark Region,https://www.facebook.com/SGFCareerCenter,SGFCareerCenter,"Provides employment and training services for job seekers, and job matching and labor market information for businesses."
"1949 E. Sunshine St., Suite 1-130",54555,Musgrave Foundation,,Springfield,MO,65804,,417-841-4698,,,,,contact@musgravefoundation.org,www.musgravefoundation.org,,,,"Awards grants to selected charities in the Springfield, Missouri area."
"1443 N Robberson Ave., Suite 408",33182,NAMI Southwest Missouri,,Springfield,MO,65802,GREENE COUNTY,417-864-3027,417-720-1918,,,1-877-535-HELP (4357) Warmline--417-864-3027,nami@namiswmo.com,www.namiswmo.com,NAMI SWMO National Alliance on Mental Illness,https://www.facebook.com/NamiSwmo,@NAMISWMODewayne,"Support-Education-Advocacy-Referrals. NAMI Southwest Missouri and the Hope Center encourage actions that lead individuals toward recovery, self-advocacy and improving their own lives to become contributing members of our community. Support groups are provided free of charge. Education program embraces the challenges of stigma reduction and suicide prevention courses."
6082 Lake Freddie Road,52913,"Newborns In Need, Southwestern Missouri Chapter",,Hartville,MO,65667,WRIGHT COUNTY,1-417-741-7516,,,,,shullski@centurylink.net,www.newbornsinneed.org/swmo,"Newborns in Need, Inc - Southwest Missouri Chapter",https://www.facebook.com/NewbornsinNeedSWMO,,"Provides assistance to sick and needy premature and newborn babies through handmade baby clothing and bedding, and by fundraising to purchase other items."
712 W. Sunshine Ave.,53672,"Newborns In Need, Springfield, Missouri Chapter",,Springfield,MO,65807,GREENE COUNTY,417-823-9508,,,,,info@newbornsinneedspringfield.org,www.newbornsinneedspringfield.org,Newborns in Need Springfield Missouri,https://www.facebook.com/groups/125385140864097/?ref=br_tf,,"A Christian-based organization that supplies essential baby items such as quilts, blankets, bibs, and burp cloths to the families of less-fortunate babies in need. Items are given to hospitals and clinics in the area to be distributed at the discretion of the health care workers."
300 E. Central,82991,One Door,,Springfield,MO,65802,,417-225-7499,417-631-4489,,,,mtonarely@commpartnership.org,www.commpartnership.org,,,,"Offers referrals and assistance to individuals and families who are homeless, at risk of becoming homeless or in need of assistance."
1325 W. Sunshine #125,628188,OneSolePurpose,,Springfield,MO,65807,,417-299-3998,,,,,gayla@onesolepurpose.com,www.onesolepurpose.com,One Sole Purpose,https://www.facebook.com/OneSolePurpose417,@OneSolePurpose,"Provides new shoes to the children in each of the Title I elementary schools in Springfield, Mo."
1322 S. Campbell Ave.,53964,Operation Us at the Murney Clinic,,Springfield,MO,65807,GREENE COUNTY,417-823-3469,417-831-6839,,,,info@operationus.org,www.operationus.org,Operation Us at the Murney Clinic,https://www.facebook.com/MurneyClinic,@operationus,"A community-based initiative dedicated to strengthening relationships for couples and singles through education, partnerships and mobilization."
215 S. Barnes Ave.,52553,Ozarks Area Community Action Corporation (OACAC),,Springfield,MO,65802,GREENE COUNTY,417-862-4314,417-864-3499,417-864-3495,,,dmagnifico@oacac-caa.org,www.oac.ac,OACAC Ozarks Area Community Action Corporation,https://www.facebook.com/pages/OACAC-Ozarks-Area-Community-Action-Corporation/223742965559,@ozarksoacac,"Provides a wide range of services to assist low-income families in achieving self-sufficiency. Programs include Family Planning and Family Supportive/Referral Services (Neighborhood Centers,) Foster Grandparents, Head Start, Housing Assistance, Low-Income Home Energy Assistance Program, and Weatherization."
215 S. Barnes Ave.,52703,Ozarks Area Community Action Corporation: Family Planning,,Springfield,MO,65802,GREENE COUNTY,417-864-3410,417-864-3416,,,,danthony@oacac-caa.org,oac.ac,OACAC Family Planning,https://www.facebook.com/pages/OACAC-Family-Planning/118893574803131?ref=search&sid=1643932868.48855002..1,,"Provides individuals with family planning, low-cost contraceptive methods and reproductive health services including pregnancy testing, pap smears, breast exams and STD testing and treatment, throughout the southwest Missouri area. An OACAC program."
